ST_CD,MAJCAT,MERCHCAT,MACRO_MVGR,MC_M_MVGR_CONT_1,MC_M_MVGR_CONT_2,MC_M_MVGR_CONT_3,MC_M_MVGR_CONT_4,MC_M_MVGR_CONT_5,MC_M_MVGR_CONT_6,MC_M_MVGR_CONT_7,MC_M_MVGR_CONT_8,MC_M_MVGR_CONT_9,MC_M_MVGR_CONT_10,MC_M_MVGR_CONT_11,MC_M_MVGR_CONT_12
HU34,M_JEANS,M_COL_JEANS,REG,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%
HU34,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU34,M_JEANS,M_COL_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU34,M_JEANS,M_COL_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU34,M_JEANS,M_JGR_JEANS,ANK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU34,M_JEANS,M_JGR_JEANS,BASIC,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%
HU34,M_JEANS,M_JGR_JEANS,BSC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU34,M_JEANS,M_JGR_JEANS,CRG,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%
HU34,M_JEANS,M_JGR_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU34,M_JEANS,M_JGR_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU34,M_JEANS,M_JGR_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU34,M_JEANS,M_JGR_JEANS,PLN,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU34,M_JEANS,M_JGR_JEANS,REG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_BLK_JEANS,ANK,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%
HU36,M_JEANS,M_BLK_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_BLK_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_BLK_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_BLK_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_BLK_JEANS,REG,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
HU36,M_JEANS,M_BLK_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_BLK_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_BLK_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_BLU_JEANS,ANK,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%
HU36,M_JEANS,M_BLU_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_BLU_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_BLU_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_BLU_JEANS,REG,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
HU36,M_JEANS,M_BLU_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_BLU_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_BLU_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_COL_JEANS,ANK,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%
HU36,M_JEANS,M_COL_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_COL_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_COL_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_COL_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_COL_JEANS,REG,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%
HU36,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_COL_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_COL_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_JGR_JEANS,ANK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_JGR_JEANS,BASIC,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%
HU36,M_JEANS,M_JGR_JEANS,BSC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_JGR_JEANS,CRG,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%
HU36,M_JEANS,M_JGR_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_JGR_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_JGR_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_JGR_JEANS,PLN,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU36,M_JEANS,M_JGR_JEANS,REG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_BLK_JEANS,ANK,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%
HU41,M_JEANS,M_BLK_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_BLK_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_BLK_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_BLK_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_BLK_JEANS,REG,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%
HU41,M_JEANS,M_BLK_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_BLK_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_BLK_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_BLU_JEANS,ANK,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%
HU41,M_JEANS,M_BLU_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_BLU_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_BLU_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_BLU_JEANS,REG,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
HU41,M_JEANS,M_BLU_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_BLU_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_BLU_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_COL_JEANS,ANK,59%,59%,59%,59%,59%,59%,59%,59%,59%,59%,59%,59%
HU41,M_JEANS,M_COL_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_COL_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_COL_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_COL_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_COL_JEANS,REG,41%,41%,41%,41%,41%,41%,41%,41%,41%,41%,41%,41%
HU41,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_COL_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_COL_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_JGR_JEANS,ANK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_JGR_JEANS,BASIC,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%
HU41,M_JEANS,M_JGR_JEANS,BSC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_JGR_JEANS,CRG,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%
HU41,M_JEANS,M_JGR_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_JGR_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_JGR_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_JGR_JEANS,PLN,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU41,M_JEANS,M_JGR_JEANS,REG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_BLK_JEANS,ANK,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%
HU44,M_JEANS,M_BLK_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_BLK_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_BLK_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_BLK_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_BLK_JEANS,REG,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
HU44,M_JEANS,M_BLK_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_BLK_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_BLK_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_BLU_JEANS,ANK,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%
HU44,M_JEANS,M_BLU_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_BLU_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_BLU_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_BLU_JEANS,REG,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%
HU44,M_JEANS,M_BLU_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_BLU_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_BLU_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_COL_JEANS,ANK,63%,63%,63%,63%,63%,63%,63%,63%,63%,63%,63%,63%
HU44,M_JEANS,M_COL_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_COL_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_COL_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_COL_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_COL_JEANS,REG,37%,37%,37%,37%,37%,37%,37%,37%,37%,37%,37%,37%
HU44,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_COL_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_COL_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_JGR_JEANS,ANK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_JGR_JEANS,BASIC,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%
HU44,M_JEANS,M_JGR_JEANS,BSC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_JGR_JEANS,CRG,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%
HU44,M_JEANS,M_JGR_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_JGR_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_JGR_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_JGR_JEANS,PLN,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU44,M_JEANS,M_JGR_JEANS,REG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_BLK_JEANS,ANK,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%
HU45,M_JEANS,M_BLK_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_BLK_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_BLK_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_BLK_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_BLK_JEANS,REG,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%
HU45,M_JEANS,M_BLK_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_BLK_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_BLK_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_BLU_JEANS,ANK,53%,53%,53%,53%,53%,53%,53%,53%,53%,53%,53%,53%
HU45,M_JEANS,M_BLU_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_BLU_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_BLU_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_BLU_JEANS,REG,47%,47%,47%,47%,47%,47%,47%,47%,47%,47%,47%,47%
HU45,M_JEANS,M_BLU_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_BLU_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_BLU_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_COL_JEANS,ANK,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%
HU45,M_JEANS,M_COL_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_COL_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_COL_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_COL_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_COL_JEANS,REG,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
HU45,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_COL_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_COL_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_JGR_JEANS,ANK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_JGR_JEANS,BASIC,43%,43%,43%,43%,43%,43%,43%,43%,43%,43%,43%,43%
HU45,M_JEANS,M_JGR_JEANS,BSC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_JGR_JEANS,CRG,57%,57%,57%,57%,57%,57%,57%,57%,57%,57%,57%,57%
HU45,M_JEANS,M_JGR_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_JGR_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_JGR_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_JGR_JEANS,PLN,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU45,M_JEANS,M_JGR_JEANS,REG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_BLK_JEANS,ANK,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%
HU48,M_JEANS,M_BLK_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_BLK_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_BLK_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_BLK_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_BLK_JEANS,REG,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%
HU48,M_JEANS,M_BLK_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_BLK_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_BLK_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_BLU_JEANS,ANK,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%
HU48,M_JEANS,M_BLU_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_BLU_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_BLU_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_BLU_JEANS,REG,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
HU48,M_JEANS,M_BLU_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_BLU_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_BLU_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_COL_JEANS,ANK,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%
HU48,M_JEANS,M_COL_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_COL_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_COL_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_COL_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_COL_JEANS,REG,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
HU48,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_COL_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_COL_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_JGR_JEANS,ANK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_JGR_JEANS,BASIC,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%
HU48,M_JEANS,M_JGR_JEANS,BSC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_JGR_JEANS,CRG,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%
HU48,M_JEANS,M_JGR_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_JGR_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_JGR_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_JGR_JEANS,PLN,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU48,M_JEANS,M_JGR_JEANS,REG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_BLK_JEANS,ANK,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%
HU49,M_JEANS,M_BLK_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_BLK_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_BLK_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_BLK_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_BLK_JEANS,REG,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%
HU49,M_JEANS,M_BLK_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_BLK_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_BLK_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_BLU_JEANS,ANK,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%
HU49,M_JEANS,M_BLU_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_BLU_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_BLU_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_BLU_JEANS,REG,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%
HU49,M_JEANS,M_BLU_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_BLU_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_BLU_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_COL_JEANS,ANK,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%
HU49,M_JEANS,M_COL_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_COL_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_COL_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_COL_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_COL_JEANS,REG,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%,54%
HU49,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_COL_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_COL_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_JGR_JEANS,ANK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_JGR_JEANS,BASIC,51%,51%,51%,51%,51%,51%,51%,51%,51%,51%,51%,51%
HU49,M_JEANS,M_JGR_JEANS,BSC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
