ST_CD,ST_NM,SSN_DAY_M_1,SSN_DAY_M_2,SSN_DAY_M_3,SSN_DAY_M_4,SSN_DAY_M_5,SSN_DAY_M_6,SSN_DAY_M_7,SSN_DAY_M_8,SSN_DAY_M_9,SSN_DAY_M_10,SSN_DAY_M_11,SSN_DAY_M_12,L_CONS_M_1,L_CONS_M_2,L_CONS_M_3,L_CONS_M_4,L_CONS_M_5,L_CONS_M_6,L_CONS_M_7,L_CONS_M_8,L_CONS_M_9,L_CONS_M_10,L_CONS_M_11,L_CONS_M_12,L_OPT_SALES_GR_M_1,L_OPT_SALES_GR_M_2,L_OPT_SALES_GR_M_3,L_OPT_SALES_GR_M_4,L_OPT_SALES_GR_M_5,L_OPT_SALES_GR_M_6,L_OPT_SALES_GR_M_7,L_OPT_SALES_GR_M_8,L_OPT_SALES_GR_M_9,L_OPT_SALES_GR_M_10,L_OPT_SALES_GR_M_11,L_OPT_SALES_GR_M_12
HU61,RBRLY,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU64,BLRMPR,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU65,PRAYAGRAJ,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB30,GOPALGANJ,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB29,PTN-2,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB31,MADHUBANI,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HO24,ROURKELA,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HT18,DEHRADUN,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU67,LKHMPR,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HO25,BARIPADA,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB34,PTN-3,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB20,BGSR-3,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HW13,MALDA,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB35,CHPR-2,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB32,SASARAM,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU69,LKNW,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HN23,SHILLONG,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HN22,SLCHR-2,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HO26,B-4-RSLGH,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU70,KNPR,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU71,GONDA,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU72,BRLY,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HD24,BHAJANPURA,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU74,BHANGEL,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HK11,DHWD,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU75,MRZPR-2,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HD25,RNBG,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HD26,MHPL-2,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU76,PAHARIYA-2,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU77,MALDAIYA,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HO27,BHRM-02,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HO23,KHORDHA,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HJ17,JAMSHEDPUR-2,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB36,HAZIPUR,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HO28,BBSR-5,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HH13,FBD-2,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB37,KHURJI,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB38,BGPR-2,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB39,DEHRI ON SONE,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HK12,BLGM-2,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HN25,BRPT-2,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU78,RENUKOOT,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HK13,MYSURU,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU80,LUCKNOW(TELI BAGH),60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HW15,SILIGURI,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU82,KHALILABAD,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB40,BUXAR (CIVIL LINES),60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HW16,CHINSURAH,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HJ19,RANCHI (BHUTALA MALL),60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HN26,TEZPUR,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
ST-CD-12,PNJM-2,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
ST-CD-13,MAHAVIR ENCLAVE,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
ST-CD-14,JAMUIE,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HW18,DURGAPUR,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
ST-CD-5,PHULWARI (PATNA),60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
ST-CD-6,PURULIA,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
ST-CD-7,RANEBENNAUR,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
ST-CD-8,KHARUPETIA,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
ST-CD-9,RAMPURHAT,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
ST-CD-15,DHANBAD,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
ST-CD-16,PRAYAGRAJ-2,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
ST-CD-17,MARGAON,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
ST-CD-18,KEONJHAR,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
ST-CD-19,PTN-4 (MATCHUATOLI),60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
ST-CD-20,ST-NM-20,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
ST-CD-21,ST-NM-21,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
ST-CD-23,ST-NM-23,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
ST-CD-24,ST-NM-24,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
ST-CD-25,ST-NM-25,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
ST-CD-26,ST-NM-26,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
ST-CD-27,ST-NM-27,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
ST-CD-28,ST-NM-28,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
ST-CD-29,ST-NM-29,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
ST-CD-30,ST-NM-30,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
