ST_CD,MAJCAT,MERCHCAT,CLR,MC_CLR_CONT_1,MC_CLR_CONT_2,MC_CLR_CONT_3,MC_CLR_CONT_4,MC_CLR_CONT_5,MC_CLR_CONT_6,MC_CLR_CONT_7,MC_CLR_CONT_8,MC_CLR_CONT_9,MC_CLR_CONT_10,MC_CLR_CONT_11,MC_CLR_CONT_12
HD16,M_JEANS,M_BLU_JEANS,D_BL,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%
HD16,M_JEANS,M_BLU_JEANS,L_BL,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%
HD16,M_JEANS,M_BLU_JEANS,M_BL,32%,32%,32%,32%,32%,32%,32%,32%,32%,32%,32%,32%
HD16,M_JEANS,M_BLU_JEANS,M_GRY,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HD16,M_JEANS,M_BLU_JEANS,S_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HD16,M_JEANS,M_BLU_JEANS,BL,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%
HD16,M_JEANS,M_BLU_JEANS,D_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD16,M_JEANS,M_BLU_JEANS,NV_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HD16,M_JEANS,M_BLU_JEANS,GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD16,M_JEANS,M_BLU_JEANS,OL_GRN,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD16,M_JEANS,M_BLU_JEANS,L_GRY,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD16,M_JEANS,M_COL_JEANS,NV_BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD16,M_JEANS,M_COL_JEANS,OLV,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD16,M_JEANS,M_COL_JEANS,D_GRY,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%
HD16,M_JEANS,M_COL_JEANS,BLK,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HD16,M_JEANS,M_COL_JEANS,D_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD16,M_JEANS,M_COL_JEANS,L_BL,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HD16,M_JEANS,M_COL_JEANS,L_GRY,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%
HD16,M_JEANS,M_COL_JEANS,M_BL,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HD16,M_JEANS,M_COL_JEANS,M_GRY,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HD16,M_JEANS,M_COL_JEANS,BEG,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HD16,M_JEANS,M_COL_JEANS,GRY,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%
HD16,M_JEANS,M_COL_JEANS,BL,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HD16,M_JEANS,M_COL_JEANS,OL_GRN,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HD16,M_JEANS,M_COL_JEANS,PST,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HD16,M_JEANS,M_COL_JEANS,S_BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD16,M_JEANS,M_JGR_JEANS,D_BL,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HD16,M_JEANS,M_JGR_JEANS,D_GRY,49%,49%,49%,49%,49%,49%,49%,49%,49%,49%,49%,49%
HD16,M_JEANS,M_JGR_JEANS,L_GRY,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HD16,M_JEANS,M_JGR_JEANS,OL_GRN,34%,34%,34%,34%,34%,34%,34%,34%,34%,34%,34%,34%
HD16,M_JEANS,M_JGR_JEANS,M_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD16,M_JEANS,M_JGR_JEANS,M_GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HD16,M_JEANS,M_JGR_JEANS,BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD16,M_JEANS,M_JGR_JEANS,BLK,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HD16,M_JEANS,M_JGR_JEANS,GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD22,M_JEANS,M_BLK_JEANS,BLK,63%,63%,63%,63%,63%,63%,63%,63%,63%,63%,63%,63%
HD22,M_JEANS,M_BLK_JEANS,D_BL,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
HD22,M_JEANS,M_BLK_JEANS,L_BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD22,M_JEANS,M_BLK_JEANS,M_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HD22,M_JEANS,M_BLK_JEANS,M_GRY,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HD22,M_JEANS,M_BLK_JEANS,GRY,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HD22,M_JEANS,M_BLK_JEANS,MNT,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HD22,M_JEANS,M_BLK_JEANS,L_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD22,M_JEANS,M_BLK_JEANS,CRM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HD22,M_JEANS,M_BLK_JEANS,D_GRY,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD22,M_JEANS,M_BLK_JEANS,PST,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD22,M_JEANS,M_BLU_JEANS,BLK,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HD22,M_JEANS,M_BLU_JEANS,D_BL,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
HD22,M_JEANS,M_BLU_JEANS,L_BL,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%
HD22,M_JEANS,M_BLU_JEANS,M_BL,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%
HD22,M_JEANS,M_BLU_JEANS,M_GRY,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD22,M_JEANS,M_BLU_JEANS,S_BL,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HD22,M_JEANS,M_BLU_JEANS,BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HD22,M_JEANS,M_BLU_JEANS,D_GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HD22,M_JEANS,M_BLU_JEANS,NV_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HD22,M_JEANS,M_BLU_JEANS,GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HD22,M_JEANS,M_BLU_JEANS,OL_GRN,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HD22,M_JEANS,M_BLU_JEANS,L_GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HD22,M_JEANS,M_BLU_JEANS,GRN,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HD22,M_JEANS,M_COL_JEANS,NV_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD22,M_JEANS,M_COL_JEANS,OLV,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD22,M_JEANS,M_COL_JEANS,D_GRY,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HD22,M_JEANS,M_COL_JEANS,BLK,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HD22,M_JEANS,M_COL_JEANS,D_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HD22,M_JEANS,M_COL_JEANS,L_BL,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HD22,M_JEANS,M_COL_JEANS,L_GRY,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%
HD22,M_JEANS,M_COL_JEANS,M_BL,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HD22,M_JEANS,M_COL_JEANS,M_GRY,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%
HD22,M_JEANS,M_COL_JEANS,BEG,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HD22,M_JEANS,M_COL_JEANS,GRY,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HD22,M_JEANS,M_COL_JEANS,BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD22,M_JEANS,M_COL_JEANS,OL_GRN,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HD22,M_JEANS,M_COL_JEANS,PST,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HD22,M_JEANS,M_COL_JEANS,S_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HD22,M_JEANS,M_JGR_JEANS,D_BL,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%
HD22,M_JEANS,M_JGR_JEANS,D_GRY,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%
HD22,M_JEANS,M_JGR_JEANS,L_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD22,M_JEANS,M_JGR_JEANS,OL_GRN,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HD22,M_JEANS,M_JGR_JEANS,M_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HD22,M_JEANS,M_JGR_JEANS,M_GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HD22,M_JEANS,M_JGR_JEANS,BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD22,M_JEANS,M_JGR_JEANS,BLK,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HD22,M_JEANS,M_JGR_JEANS,L_BL,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HD22,M_JEANS,M_JGR_JEANS,GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD22,M_JEANS,M_JGR_JEANS,NV_BL,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HD22,M_JEANS,M_JGR_JEANS,S_BL,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HD24,M_JEANS,M_BLK_JEANS,BLK,59%,59%,59%,59%,59%,59%,59%,59%,59%,59%,59%,59%
HD24,M_JEANS,M_BLK_JEANS,D_BL,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
HD24,M_JEANS,M_BLK_JEANS,L_BL,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HD24,M_JEANS,M_BLK_JEANS,M_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD24,M_JEANS,M_BLK_JEANS,M_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD24,M_JEANS,M_BLK_JEANS,GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD24,M_JEANS,M_BLK_JEANS,D_GRY,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%
HD24,M_JEANS,M_BLK_JEANS,BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD24,M_JEANS,M_BLU_JEANS,BLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HD24,M_JEANS,M_BLU_JEANS,D_BL,35%,35%,35%,35%,35%,35%,35%,35%,35%,35%,35%,35%
HD24,M_JEANS,M_BLU_JEANS,L_BL,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HD24,M_JEANS,M_BLU_JEANS,M_BL,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%
HD24,M_JEANS,M_BLU_JEANS,M_GRY,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HD24,M_JEANS,M_BLU_JEANS,S_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HD24,M_JEANS,M_BLU_JEANS,BL,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HD24,M_JEANS,M_BLU_JEANS,D_GRY,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD24,M_JEANS,M_BLU_JEANS,NV_BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD24,M_JEANS,M_BLU_JEANS,GRY,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD24,M_JEANS,M_BLU_JEANS,L_GRY,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HD24,M_JEANS,M_BLU_JEANS,GRN,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HD24,M_JEANS,M_COL_JEANS,NV_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD24,M_JEANS,M_COL_JEANS,D_GRY,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HD24,M_JEANS,M_COL_JEANS,BLK,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD24,M_JEANS,M_COL_JEANS,D_BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD24,M_JEANS,M_COL_JEANS,L_BL,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HD24,M_JEANS,M_COL_JEANS,L_GRY,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%
HD24,M_JEANS,M_COL_JEANS,M_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HD24,M_JEANS,M_COL_JEANS,M_GRY,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HD24,M_JEANS,M_COL_JEANS,GRY,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%
HD24,M_JEANS,M_COL_JEANS,BL,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HD24,M_JEANS,M_COL_JEANS,OL_GRN,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HD24,M_JEANS,M_COL_JEANS,PST,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD24,M_JEANS,M_COL_JEANS,S_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HD24,M_JEANS,M_JGR_JEANS,D_GRY,63%,63%,63%,63%,63%,63%,63%,63%,63%,63%,63%,63%
HD24,M_JEANS,M_JGR_JEANS,OL_GRN,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%
HD24,M_JEANS,M_JGR_JEANS,BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD24,M_JEANS,M_JGR_JEANS,BLK,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HD24,M_JEANS,M_JGR_JEANS,L_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD24,M_JEANS,M_JGR_JEANS,GRY,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%
HD25,M_JEANS,M_BLK_JEANS,BLK,49%,49%,49%,49%,49%,49%,49%,49%,49%,49%,49%,49%
HD25,M_JEANS,M_BLK_JEANS,D_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD25,M_JEANS,M_BLK_JEANS,L_BL,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HD25,M_JEANS,M_BLK_JEANS,M_BL,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HD25,M_JEANS,M_BLK_JEANS,M_GRY,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%
HD25,M_JEANS,M_BLK_JEANS,CRM,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%
HD25,M_JEANS,M_BLU_JEANS,BLK,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HD25,M_JEANS,M_BLU_JEANS,D_BL,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%
HD25,M_JEANS,M_BLU_JEANS,L_BL,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HD25,M_JEANS,M_BLU_JEANS,M_BL,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%
HD25,M_JEANS,M_BLU_JEANS,M_GRY,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%
HD25,M_JEANS,M_BLU_JEANS,BL,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
HD25,M_JEANS,M_BLU_JEANS,D_GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HD25,M_JEANS,M_BLU_JEANS,GRN,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD25,M_JEANS,M_COL_JEANS,NV_BL,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HD25,M_JEANS,M_COL_JEANS,OLV,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HD25,M_JEANS,M_COL_JEANS,D_GRY,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HD25,M_JEANS,M_COL_JEANS,BLK,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HD25,M_JEANS,M_COL_JEANS,D_BL,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HD25,M_JEANS,M_COL_JEANS,L_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HD25,M_JEANS,M_COL_JEANS,L_GRY,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%
HD25,M_JEANS,M_COL_JEANS,M_BL,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HD25,M_JEANS,M_COL_JEANS,M_GRY,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HD25,M_JEANS,M_COL_JEANS,GRY,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HD25,M_JEANS,M_COL_JEANS,BL,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HD25,M_JEANS,M_COL_JEANS,OL_GRN,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%
HD25,M_JEANS,M_COL_JEANS,PST,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD25,M_JEANS,M_JGR_JEANS,D_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD25,M_JEANS,M_JGR_JEANS,L_GRY,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HD25,M_JEANS,M_JGR_JEANS,OL_GRN,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HD25,M_JEANS,M_JGR_JEANS,M_BL,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HD25,M_JEANS,M_JGR_JEANS,BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD25,M_JEANS,M_JGR_JEANS,BLK,52%,52%,52%,52%,52%,52%,52%,52%,52%,52%,52%,52%
HD25,M_JEANS,M_JGR_JEANS,L_BL,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HD25,M_JEANS,M_JGR_JEANS,GRY,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HD25,M_JEANS,M_JGR_JEANS,S_BL,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HD26,M_JEANS,M_BLK_JEANS,BLK,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%
HD26,M_JEANS,M_BLK_JEANS,D_BL,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HD26,M_JEANS,M_BLK_JEANS,L_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD26,M_JEANS,M_BLK_JEANS,M_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD26,M_JEANS,M_BLK_JEANS,M_GRY,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HD26,M_JEANS,M_BLK_JEANS,GRY,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HD26,M_JEANS,M_BLK_JEANS,D_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD26,M_JEANS,M_BLU_JEANS,BLK,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HD26,M_JEANS,M_BLU_JEANS,D_BL,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HD26,M_JEANS,M_BLU_JEANS,L_BL,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%
HD26,M_JEANS,M_BLU_JEANS,M_BL,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%
HD26,M_JEANS,M_BLU_JEANS,M_GRY,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HD26,M_JEANS,M_BLU_JEANS,S_BL,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HD26,M_JEANS,M_BLU_JEANS,BL,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HD26,M_JEANS,M_BLU_JEANS,D_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD26,M_JEANS,M_BLU_JEANS,NV_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HD26,M_JEANS,M_BLU_JEANS,GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD26,M_JEANS,M_BLU_JEANS,L_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD26,M_JEANS,M_COL_JEANS,NV_BL,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HD26,M_JEANS,M_COL_JEANS,OLV,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HD26,M_JEANS,M_COL_JEANS,D_GRY,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HD26,M_JEANS,M_COL_JEANS,BLK,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD26,M_JEANS,M_COL_JEANS,D_BL,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HD26,M_JEANS,M_COL_JEANS,L_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HD26,M_JEANS,M_COL_JEANS,L_GRY,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%
HD26,M_JEANS,M_COL_JEANS,M_BL,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HD26,M_JEANS,M_COL_JEANS,M_GRY,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HD26,M_JEANS,M_COL_JEANS,BEG,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HD26,M_JEANS,M_COL_JEANS,GRY,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%
HD26,M_JEANS,M_COL_JEANS,BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD26,M_JEANS,M_COL_JEANS,OL_GRN,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HD26,M_JEANS,M_COL_JEANS,PST,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD26,M_JEANS,M_COL_JEANS,S_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HD26,M_JEANS,M_JGR_JEANS,D_BL,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HD26,M_JEANS,M_JGR_JEANS,D_GRY,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%
HD26,M_JEANS,M_JGR_JEANS,L_GRY,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%
HD26,M_JEANS,M_JGR_JEANS,M_BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HD26,M_JEANS,M_JGR_JEANS,BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HD26,M_JEANS,M_JGR_JEANS,BLK,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HD26,M_JEANS,M_JGR_JEANS,GRY,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HD26,M_JEANS,M_JGR_JEANS,NV_BL,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%
HD26,M_JEANS,M_JGR_JEANS,S_BL,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HD26,M_JEANS,M_JGR_JEANS,OLV,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
HG10,M_JEANS,M_BLK_JEANS,BLK,59%,59%,59%,59%,59%,59%,59%,59%,59%,59%,59%,59%
HG10,M_JEANS,M_BLK_JEANS,D_BL,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
HG10,M_JEANS,M_BLK_JEANS,L_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HG10,M_JEANS,M_BLK_JEANS,M_BL,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HG10,M_JEANS,M_BLK_JEANS,M_GRY,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HG10,M_JEANS,M_BLK_JEANS,GRY,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HG10,M_JEANS,M_BLK_JEANS,L_GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HG10,M_JEANS,M_BLK_JEANS,CRM,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HG10,M_JEANS,M_BLK_JEANS,D_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HG10,M_JEANS,M_BLK_JEANS,NV_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HG10,M_JEANS,M_BLU_JEANS,BLK,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HG10,M_JEANS,M_BLU_JEANS,D_BL,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%
HG10,M_JEANS,M_BLU_JEANS,L_BL,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%
HG10,M_JEANS,M_BLU_JEANS,M_BL,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%
HG10,M_JEANS,M_BLU_JEANS,M_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HG10,M_JEANS,M_BLU_JEANS,S_BL,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
